ID_ALQUILER,DIA_ALQUILER,AÑO_RENTA,MES_RENTA,CUATRI_RENTA,TITULO_PELICULA,DESCRIPCION,AÑO,LENGUAJE,LENGUAJE_ORIGINAL,TIEMPO_RENTA,CLASIFICACION,DIRECCION,CITY,CODIGO_POSTAL,TELEFONO,NOMBRE_APELLIDO_CLIENTE,EMAIL_CLIENTE,"NOMBRE Y APELLIDO PERSONAL",EMAIL_PERSONAL,USERNAME,DIA_DEVOLUCION,MONTO,FECHA_PAGO,"ULTIMA ACTUALIZACION"
11,2005-05-25,2005,5,2,"WHALE BIKINI","A Intrepid Story of a Pastry Chef And a Database Administrator who must Kill a Feminist in A MySQL Convention",2006,English,NULL,4,PG-13,"47 MySakila Drive",Lethbridge,60562,581174211853,"APRIL BURNS",APRIL.BURNS@sakilacustomer.org,"Mike Hillyer",Mike.Hillyer@sakilastaff.com,Mike,2005-06-02,8.99,2005-05-25,2006-02-15
12,2005-05-25,2005,5,2,"GAMES BOWFINGER","A Astounding Documentary of a Butler And a Explorer who must Challenge a Butler in A Monastery",2006,English,NULL,7,PG-13,"47 MySakila Drive",Lethbridge,30065,265153400632,"DEANNA BYRD",DEANNA.BYRD@sakilacustomer.org,"Mike Hillyer",Mike.Hillyer@sakilastaff.com,Mike,2005-05-30,4.99,2005-05-25,2006-02-15
13,2005-05-25,2005,5,2,"KING EVOLUTION","A Action-Packed Tale of a Boy And a Lumberjack who must Chase a Madman in A Baloon",2006,English,NULL,3,NC-17,"47 MySakila Drive",Lethbridge,49812,834626715837,"RAYMOND MCWHORTER",RAYMOND.MCWHORTER@sakilacustomer.org,"Mike Hillyer",Mike.Hillyer@sakilastaff.com,Mike,2005-05-30,6.99,2005-05-25,2006-02-15
14,2005-05-25,2005,5,2,"MONTEREY LABYRINTH","A Awe-Inspiring Drama of a Monkey And a Composer who must Escape a Feminist in A U-Boat",2006,English,NULL,6,G,"28 MySQL Boulevard",Woodridge,2834,39463554936,"THEODORE CULP",THEODORE.CULP@sakilacustomer.org,"Jon Stephens",Jon.Stephens@sakilastaff.com,Jon,2005-05-26,0.99,2005-05-25,2006-02-15
15,2005-05-25,2005,5,2,"PELICAN COMFORTS","A Epic Documentary of a Boy And a Monkey who must Pursue a Astronaut in Berlin",2006,English,NULL,4,PG,"47 MySakila Drive",Lethbridge,73170,674805712553,"RONALD WEINER",RONALD.WEINER@sakilacustomer.org,"Mike Hillyer",Mike.Hillyer@sakilastaff.com,Mike,2005-06-03,9.99,2005-05-25,2006-02-15
16,2005-05-25,2005,5,2,"BOOGIE AMELIE","A Lacklusture Character Study of a Husband And a Sumo Wrestler who must Succumb a Technical Writer in The Gulf of Mexico",2006,English,NULL,6,R,"47 MySakila Drive",Lethbridge,59811,139378397418,"STEVEN CURLEY",STEVEN.CURLEY@sakilacustomer.org,"Mike Hillyer",Mike.Hillyer@sakilastaff.com,Mike,2005-05-26,4.99,2005-05-25,2006-02-15
17,2005-05-25,2005,5,2,"CONTACT ANONYMOUS","A Insightful Display of a A Shark And a Monkey who must Face a Database Administrator in Ancient India",2006,English,NULL,7,PG-13,"28 MySQL Boulevard",Woodridge,89422,14465669789,"ISAAC OGLESBY",ISAAC.OGLESBY@sakilacustomer.org,"Jon Stephens",Jon.Stephens@sakilastaff.com,Jon,2005-05-27,2.99,2005-05-25,2006-02-15
18,2005-05-25,2005,5,2,"ROMAN PUNK","A Thoughtful Panorama of a Mad Cow And a Student who must Battle a Forensic Psychologist in Berlin",2006,English,NULL,7,NC-17,"47 MySakila Drive",Lethbridge,72192,272572357893,"RUTH MARTINEZ",RUTH.MARTINEZ@sakilacustomer.org,"Mike Hillyer",Mike.Hillyer@sakilastaff.com,Mike,2005-05-31,0.99,2005-05-25,2006-02-15
19,2005-05-25,2005,5,2,"HOLLOW JEOPARDY","A Beautiful Character Study of a Robot And a Astronaut who must Overcome a Boat in A Monastery",2006,English,NULL,7,NC-17,"28 MySQL Boulevard",Woodridge,75559,670370974122,"RONNIE RICKETTS",RONNIE.RICKETTS@sakilacustomer.org,"Jon Stephens",Jon.Stephens@sakilastaff.com,Jon,2005-05-31,4.99,2005-05-25,2006-02-15
20,2005-05-25,2005,5,2,"SCISSORHANDS SLUMS","A Awe-Inspiring Drama of a Girl And a Technical Writer who must Meet a Feminist in The Canadian Rockies",2006,English,NULL,5,G,"28 MySQL Boulevard",Woodridge,65121,951486492670,"ROBERTA HARPER",ROBERTA.HARPER@sakilacustomer.org,"Jon Stephens",Jon.Stephens@sakilastaff.com,Jon,2005-05-27,2.99,2005-05-25,2006-02-15
21,2005-05-25,2005,5,2,"APACHE DIVINE","A Awe-Inspiring Reflection of a Pastry Chef And a Teacher who must Overcome a Sumo Wrestler in A U-Boat",2006,English,NULL,5,NC-17,"47 MySakila Drive",Lethbridge,21615,426255288071,"CRAIG MORRELL",CRAIG.MORRELL@sakilacustomer.org,"Mike Hillyer",Mike.Hillyer@sakilastaff.com,Mike,2005-05-26,4.99,2005-05-25,2006-02-15
22,2005-05-25,2005,5,2,"CLOSER BANG","A Unbelieveable Panorama of a Frisbee And a Hunter who must Vanquish a Monkey in Ancient India",2006,English,NULL,5,R,"47 MySakila Drive",Lethbridge,51369,442673923363,"RAUL FORTIER",RAUL.FORTIER@sakilacustomer.org,"Mike Hillyer",Mike.Hillyer@sakilastaff.com,Mike,2005-05-26,4.99,2005-05-25,2006-02-15
23,2005-05-25,2005,5,2,"WHALE BIKINI","A Intrepid Story of a Pastry Chef And a Database Administrator who must Kill a Feminist in A MySQL Convention",2006,English,NULL,4,PG-13,"47 MySakila Drive",Lethbridge,55405,689681677428,"BARRY LOVELACE",BARRY.LOVELACE@sakilacustomer.org,"Mike Hillyer",Mike.Hillyer@sakilastaff.com,Mike,2005-05-29,4.99,2005-05-25,2006-02-15
24,2005-05-25,2005,5,2,"REDS POCUS","A Lacklusture Yarn of a Sumo Wrestler And a Squirrel who must Redeem a Monkey in Soviet Georgia",2006,English,NULL,7,PG-13,"47 MySakila Drive",Lethbridge,58866,689199636560,"JUAN FRALEY",JUAN.FRALEY@sakilacustomer.org,"Mike Hillyer",Mike.Hillyer@sakilastaff.com,Mike,2005-05-27,4.99,2005-05-25,2006-02-15
25,2005-05-25,2005,5,2,"SUN CONFESSIONS","A Beautiful Display of a Mad Cow And a Dog who must Redeem a Waitress in An Abandoned Amusement Park",2006,English,NULL,5,R,"28 MySQL Boulevard",Woodridge,47929,912257250465,"PAMELA BAKER",PAMELA.BAKER@sakilacustomer.org,"Jon Stephens",Jon.Stephens@sakilastaff.com,Jon,2005-05-27,0.99,2005-05-25,2006-02-15
26,2005-05-25,2005,5,2,"WAIT CIDER","A Intrepid Epistle of a Woman And a Forensic Psychologist who must Succumb a Astronaut in A Manhattan Penthouse",2006,English,NULL,3,PG-13,"47 MySakila Drive",Lethbridge,57810,333390595558,"BILLY POULIN",BILLY.POULIN@sakilacustomer.org,"Mike Hillyer",Mike.Hillyer@sakilastaff.com,Mike,2005-05-31,3.99,2005-05-25,2006-02-15
27,2005-05-25,2005,5,2,"EASY GLADIATOR","A Fateful Story of a Monkey And a Girl who must Overcome a Pastry Chef in Ancient India",2006,English,NULL,5,G,"28 MySQL Boulevard",Woodridge,68469,96110042435,"ROBERT BAUGHMAN",ROBERT.BAUGHMAN@sakilacustomer.org,"Jon Stephens",Jon.Stephens@sakilastaff.com,Jon,2005-05-30,4.99,2005-05-25,2006-02-15
28,2005-05-25,2005,5,2,"THIEF PELICAN","A Touching Documentary of a Madman And a Mad Scientist who must Outrace a Feminist in An Abandoned Mine Shaft",2006,English,NULL,5,PG-13,"47 MySakila Drive",Lethbridge,31390,588964509072,"CONSTANCE REID",CONSTANCE.REID@sakilacustomer.org,"Mike Hillyer",Mike.Hillyer@sakilastaff.com,Mike,2005-05-26,4.99,2005-05-25,2006-02-15
29,2005-05-25,2005,5,2,"CHAINSAW UPTOWN","A Beautiful Documentary of a Boy And a Robot who must Discover a Squirrel in Australia",2006,English,NULL,6,PG,"28 MySQL Boulevard",Woodridge,76022,177727722820,"MARIE TURNER",MARIE.TURNER@sakilacustomer.org,"Jon Stephens",Jon.Stephens@sakilastaff.com,Jon,2005-05-30,0.99,2005-05-25,2006-02-15
30,2005-05-25,2005,5,2,"SONG HEDWIG","A Amazing Documentary of a Man And a Husband who must Confront a Squirrel in A MySQL Convention",2006,English,NULL,3,PG-13,"47 MySakila Drive",Lethbridge,33505,497288595103,"RAY HOULE",RAY.HOULE@sakilacustomer.org,"Mike Hillyer",Mike.Hillyer@sakilastaff.com,Mike,2005-05-30,2.99,2005-05-25,2006-02-15
31,2005-05-25,2005,5,2,"WITCHES PANIC","A Awe-Inspiring Drama of a Secret Agent And a Hunter who must Fight a Moose in Nigeria",2006,English,NULL,6,NC-17,"28 MySQL Boulevard",Woodridge,91330,561729882725,"FRED WHEAT",FRED.WHEAT@sakilacustomer.org,"Jon Stephens",Jon.Stephens@sakilastaff.com,Jon,2005-05-30,4.99,2005-05-25,2006-02-15
32,2005-05-25,2005,5,2,"STALLION SUNDANCE","A Fast-Paced Tale of a Car And a Dog who must Outgun a A Shark in Australia",2006,English,NULL,5,PG-13,"28 MySQL Boulevard",Woodridge,50598,479007229460,"JOY GEORGE",JOY.GEORGE@sakilacustomer.org,"Jon Stephens",Jon.Stephens@sakilastaff.com,Jon,2005-05-25,0.99,2005-05-25,2006-02-15
33,2005-05-25,2005,5,2,"GOLDMINE TYCOON","A Brilliant Epistle of a Composer And a Frisbee who must Conquer a Husband in The Outback",2006,English,NULL,6,R,"47 MySakila Drive",Lethbridge,46063,170739645687,"KAY CALDWELL",KAY.CALDWELL@sakilacustomer.org,"Mike Hillyer",Mike.Hillyer@sakilastaff.com,Mike,2005-05-27,0.99,2005-05-25,2006-02-15
34,2005-05-25,2005,5,2,"MICROCOSMOS PARADISE","A Touching Character Study of a Boat And a Student who must Sink a A Shark in Nigeria",2006,English,NULL,6,PG-13,"47 MySakila Drive",Lethbridge,52137,644021380889,"FREDDIE DUGGAN",FREDDIE.DUGGAN@sakilacustomer.org,"Mike Hillyer",Mike.Hillyer@sakilastaff.com,Mike,2005-05-29,2.99,2005-05-25,2006-02-15
35,2005-05-25,2005,5,2,"ENEMY ODDS","A Fanciful Panorama of a Mad Scientist And a Woman who must Pursue a Astronaut in Ancient India",2006,English,NULL,5,NC-17,"28 MySQL Boulevard",Woodridge,11839,508348602835,"ROBERTO VU",ROBERTO.VU@sakilacustomer.org,"Jon Stephens",Jon.Stephens@sakilastaff.com,Jon,2005-05-27,4.99,2005-05-25,2006-02-15
36,2005-05-25,2005,5,2,"ESCAPE METROPOLIS","A Taut Yarn of a Astronaut And a Technical Writer who must Outgun a Boat in New Orleans",2006,English,NULL,7,R,"28 MySQL Boulevard",Woodridge,82624,978987363654,"BONNIE HUGHES",BONNIE.HUGHES@sakilacustomer.org,"Jon Stephens",Jon.Stephens@sakilastaff.com,Jon,2005-05-29,2.99,2005-05-25,2006-02-15
37,2005-05-25,2005,5,2,"BORROWERS BEDAZZLED","A Brilliant Epistle of a Teacher And a Sumo Wrestler who must Defeat a Man in An Abandoned Fun House",2006,English,NULL,7,G,"28 MySQL Boulevard",Woodridge,49250,8912935608,"JAVIER ELROD",JAVIER.ELROD@sakilacustomer.org,"Jon Stephens",Jon.Stephens@sakilastaff.com,Jon,2005-05-29,0.99,2005-05-25,2006-02-15
38,2005-05-25,2005,5,2,"MANCHURIAN CURTAIN","A Stunning Tale of a Mad Cow And a Boy who must Battle a Boy in Berlin",2006,English,NULL,5,PG,"47 MySakila Drive",Lethbridge,58979,108053751300,"MICHAEL SILVERMAN",MICHAEL.SILVERMAN@sakilacustomer.org,"Mike Hillyer",Mike.Hillyer@sakilastaff.com,Mike,2005-06-01,4.99,2005-05-25,2006-02-15
39,2005-05-25,2005,5,2,"WIND PHANTOM","A Touching Saga of a Madman And a Forensic Psychologist who must Build a Sumo Wrestler in An Abandoned Mine Shaft",2006,English,NULL,6,R,"47 MySakila Drive",Lethbridge,10800,403404780639,"GERTRUDE CASTILLO",GERTRUDE.CASTILLO@sakilacustomer.org,"Mike Hillyer",Mike.Hillyer@sakilastaff.com,Mike,2005-05-31,0.99,2005-05-25,2006-02-15
40,2005-05-25,2005,5,2,"MINDS TRUMAN","A Taut Yarn of a Mad Scientist And a Crocodile who must Outgun a Database Administrator in A Monastery",2006,English,NULL,3,PG-13,"47 MySakila Drive",Lethbridge,58888,480039662421,"MARVIN YEE",MARVIN.YEE@sakilacustomer.org,"Mike Hillyer",Mike.Hillyer@sakilastaff.com,Mike,2005-05-27,4.99,2005-05-25,2006-02-15
41,2005-05-25,2005,5,2,"GRIT CLOCKWORK","A Thoughtful Display of a Dentist And a Squirrel who must Confront a Lumberjack in A Shark Tank",2006,English,NULL,3,PG,"28 MySQL Boulevard",Woodridge,25220,48265851133,"YVONNE WATKINS",YVONNE.WATKINS@sakilacustomer.org,"Jon Stephens",Jon.Stephens@sakilastaff.com,Jon,2005-06-02,5.99,2005-05-25,2006-02-15
42,2005-05-25,2005,5,2,"BOILED DARES","A Awe-Inspiring Story of a Waitress And a Dog who must Discover a Dentist in Ancient Japan",2006,English,NULL,7,PG,"47 MySakila Drive",Lethbridge,18043,638409958875,"HARVEY GUAJARDO",HARVEY.GUAJARDO@sakilacustomer.org,"Mike Hillyer",Mike.Hillyer@sakilastaff.com,Mike,2005-05-31,4.99,2005-05-25,2006-02-15
43,2005-05-25,2005,5,2,"MASSAGE IMAGE","A Fateful Drama of a Frisbee And a Crocodile who must Vanquish a Dog in The First Manned Space Station",2006,English,NULL,4,PG,"28 MySQL Boulevard",Woodridge,79401,478380208348,"NEIL RENNER",NEIL.RENNER@sakilacustomer.org,"Jon Stephens",Jon.Stephens@sakilastaff.com,Jon,2005-05-26,2.99,2005-05-25,2006-02-15
44,2005-05-25,2005,5,2,"PIRATES ROXANNE","A Stunning Drama of a Woman And a Lumberjack who must Overcome a A Shark in The Canadian Rockies",2006,English,NULL,4,PG,"47 MySakila Drive",Lethbridge,10800,403404780639,"GERTRUDE CASTILLO",GERTRUDE.CASTILLO@sakilacustomer.org,"Mike Hillyer",Mike.Hillyer@sakilastaff.com,Mike,2005-05-29,0.99,2005-05-25,2006-02-15
45,2005-05-25,2005,5,2,"HARRY IDAHO","A Taut Yarn of a Technical Writer And a Feminist who must Outrace a Dog in California",2006,English,NULL,5,PG-13,"28 MySQL Boulevard",Woodridge,47472,145720452260,"TROY QUIGLEY",TROY.QUIGLEY@sakilacustomer.org,"Jon Stephens",Jon.Stephens@sakilastaff.com,Jon,2005-06-02,7.99,2005-05-25,2006-02-15
46,2005-05-25,2005,5,2,"RIDGEMONT SUBMARINE","A Unbelieveable Drama of a Waitress And a Composer who must Sink a Mad Cow in Ancient Japan",2006,English,NULL,3,PG-13,"47 MySakila Drive",Lethbridge,93896,716571220373,"MARIA MILLER",MARIA.MILLER@sakilacustomer.org,"Mike Hillyer",Mike.Hillyer@sakilastaff.com,Mike,2005-06-02,5.99,2005-05-25,2006-02-15
47,2005-05-25,2005,5,2,"JAWS HARRY","A Thrilling Display of a Database Administrator And a Monkey who must Overcome a Dog in An Abandoned Fun House",2006,English,NULL,4,G,"28 MySQL Boulevard",Woodridge,34021,440512153169,"VIRGINIA GREEN",VIRGINIA.GREEN@sakilacustomer.org,"Jon Stephens",Jon.Stephens@sakilastaff.com,Jon,2005-05-30,3.99,2005-05-25,2006-02-15
48,2005-05-25,2005,5,2,"GUN BONNIE","A Boring Display of a Sumo Wrestler And a Husband who must Build a Waitress in The Gulf of Mexico",2006,English,NULL,7,G,"47 MySakila Drive",Lethbridge,8160,62781725285,"JENNY CASTRO",JENNY.CASTRO@sakilacustomer.org,"Mike Hillyer",Mike.Hillyer@sakilastaff.com,Mike,2005-06-02,1.99,2005-05-25,2006-02-15
49,2005-05-25,2005,5,2,"PACIFIC AMISTAD","A Thrilling Yarn of a Dog And a Moose who must Kill a Pastry Chef in A Manhattan Penthouse",2006,English,NULL,3,G,"47 MySakila Drive",Lethbridge,50592,144206758053,"GENE SANBORN",GENE.SANBORN@sakilacustomer.org,"Mike Hillyer",Mike.Hillyer@sakilastaff.com,Mike,2005-05-30,2.99,2005-05-25,2006-02-15
50,2005-05-25,2005,5,2,"HOPE TOOTSIE","A Amazing Documentary of a Student And a Sumo Wrestler who must Outgun a A Shark in A Shark Tank",2006,English,NULL,4,NC-17,"28 MySQL Boulevard",Woodridge,43331,747791594069,"CAROL GARCIA",CAROL.GARCIA@sakilacustomer.org,"Jon Stephens",Jon.Stephens@sakilastaff.com,Jon,2005-05-28,2.99,2005-05-25,2006-02-15
51,2005-05-25,2005,5,2,"ELF MURDER","A Action-Packed Story of a Frisbee And a Woman who must Reach a Girl in An Abandoned Mine Shaft",2006,English,NULL,4,NC-17,"47 MySakila Drive",Lethbridge,68146,884536620568,"MABEL HOLLAND",MABEL.HOLLAND@sakilacustomer.org,"Mike Hillyer",Mike.Hillyer@sakilastaff.com,Mike,2005-05-26,4.99,2005-05-25,2006-02-15
52,2005-05-25,2005,5,2,"TALENTED HOMICIDE","A Lacklusture Panorama of a Dentist And a Forensic Psychologist who must Outrace a Pioneer in A U-Boat",2006,English,NULL,6,PG,"47 MySakila Drive",Lethbridge,54674,402630109080,"EDGAR RHOADS",EDGAR.RHOADS@sakilacustomer.org,"Mike Hillyer",Mike.Hillyer@sakilastaff.com,Mike,2005-05-31,0.99,2005-05-25,2006-02-15
53,2005-05-25,2005,5,2,"ELEPHANT TROJAN","A Beautiful Panorama of a Lumberjack And a Forensic Psychologist who must Overcome a Frisbee in A Baloon",2006,English,NULL,4,PG-13,"47 MySakila Drive",Lethbridge,77397,128499386727,"DAVE GARDINER",DAVE.GARDINER@sakilacustomer.org,"Mike Hillyer",Mike.Hillyer@sakilastaff.com,Mike,2005-05-27,4.99,2005-05-25,2006-02-15
54,2005-05-25,2005,5,2,"MUSKETEERS WAIT","A Touching Yarn of a Student And a Moose who must Fight a Mad Cow in Australia",2006,English,NULL,7,PG,"47 MySakila Drive",Lethbridge,61195,976798660411,"TONI HOLT",TONI.HOLT@sakilacustomer.org,"Mike Hillyer",Mike.Hillyer@sakilastaff.com,Mike,2005-06-01,4.99,2005-05-25,2006-02-15
55,2005-05-25,2005,5,2,"DREAM PICKUP","A Epic Display of a Car And a Composer who must Overcome a Forensic Psychologist in The Gulf of Mexico",2006,English,NULL,6,PG,"28 MySQL Boulevard",Woodridge,14014,252265130067,"MONICA HICKS",MONICA.HICKS@sakilacustomer.org,"Jon Stephens",Jon.Stephens@sakilastaff.com,Jon,2005-05-30,2.99,2005-05-25,2006-02-15
56,2005-05-25,2005,5,2,"EYES DRIVING","A Thrilling Story of a Cat And a Waitress who must Fight a Explorer in The Outback",2006,English,NULL,4,PG-13,"28 MySQL Boulevard",Woodridge,39529,59634255214,"CHESTER BENNER",CHESTER.BENNER@sakilacustomer.org,"Jon Stephens",Jon.Stephens@sakilastaff.com,Jon,2005-05-26,2.99,2005-05-25,2006-02-15
57,2005-05-25,2005,5,2,"SUBMARINE BED","A Amazing Display of a Car And a Monkey who must Fight a Teacher in Soviet Georgia",2006,English,NULL,5,R,"28 MySQL Boulevard",Woodridge,18743,860452626434,"JENNIFER DAVIS",JENNIFER.DAVIS@sakilacustomer.org,"Jon Stephens",Jon.Stephens@sakilastaff.com,Jon,2005-05-29,4.99,2005-05-25,2006-02-15
58,2005-05-25,2005,5,2,"PELICAN COMFORTS","A Epic Documentary of a Boy And a Monkey who must Pursue a Astronaut in Berlin",2006,English,NULL,4,PG,"47 MySakila Drive",Lethbridge,54949,869051782691,"MATTHEW MAHAN",MATTHEW.MAHAN@sakilacustomer.org,"Mike Hillyer",Mike.Hillyer@sakilastaff.com,Mike,2005-05-28,4.99,2005-05-25,2006-02-15
59,2005-05-25,2005,5,2,"OCTOBER SUBMARINE","A Taut Epistle of a Monkey And a Boy who must Confront a Husband in A Jet Boat",2006,English,NULL,6,PG-13,"28 MySQL Boulevard",Woodridge,35575,359478883004,"MANUEL MURRELL",MANUEL.MURRELL@sakilacustomer.org,"Jon Stephens",Jon.Stephens@sakilastaff.com,Jon,2005-06-01,5.99,2005-05-25,2006-02-15
60,2005-05-25,2005,5,2,"BINGO TALENTED","A Touching Tale of a Girl And a Crocodile who must Discover a Waitress in Nigeria",2006,English,NULL,5,PG-13,"28 MySQL Boulevard",Woodridge,14122,562370137426,"GORDON ALLARD",GORDON.ALLARD@sakilacustomer.org,"Jon Stephens",Jon.Stephens@sakilastaff.com,Jon,2005-05-30,2.99,2005-05-25,2006-02-15
61,2005-05-25,2005,5,2,"TRUMAN CRAZY","A Thrilling Epistle of a Moose And a Boy who must Meet a Database Administrator in A Monastery",2006,English,NULL,7,G,"47 MySakila Drive",Lethbridge,98332,716256596301,"JO FOWLER",JO.FOWLER@sakilacustomer.org,"Mike Hillyer",Mike.Hillyer@sakilastaff.com,Mike,2005-06-02,5.99,2005-05-25,2006-02-15
62,2005-05-25,2005,5,2,"BEACH HEARTBREAKERS","A Fateful Display of a Womanizer And a Mad Scientist who must Outgun a A Shark in Soviet Georgia",2006,English,NULL,6,G,"28 MySQL Boulevard",Woodridge,60622,987306329957,"CHAD CARBONE",CHAD.CARBONE@sakilacustomer.org,"Jon Stephens",Jon.Stephens@sakilastaff.com,Jon,2005-05-30,2.99,2005-05-25,2006-02-15
63,2005-05-25,2005,5,2,"SWEETHEARTS SUSPECTS","A Brilliant Character Study of a Frisbee And a Sumo Wrestler who must Confront a Woman in The Gulf of Mexico",2006,English,NULL,3,G,"47 MySakila Drive",Lethbridge,17165,106439158941,"MARTIN BALES",MARTIN.BALES@sakilacustomer.org,"Mike Hillyer",Mike.Hillyer@sakilastaff.com,Mike,2005-05-27,0.99,2005-05-25,2006-02-15
64,2005-05-25,2005,5,2,"ALLEY EVOLUTION","A Fast-Paced Drama of a Robot And a Composer who must Battle a Astronaut in New Orleans",2006,English,NULL,6,NC-17,"28 MySQL Boulevard",Woodridge,13203,320471479776,"HARRY ARCE",HARRY.ARCE@sakilacustomer.org,"Jon Stephens",Jon.Stephens@sakilastaff.com,Jon,2005-06-03,5.99,2005-05-25,2006-02-15
65,2005-05-25,2005,5,2,"SECRET GROUNDHOG","A Astounding Story of a Cat And a Database Administrator who must Build a Technical Writer in New Orleans",2006,English,NULL,6,PG,"28 MySQL Boulevard",Woodridge,56380,262744791493,"ARTHUR SIMPKINS",ARTHUR.SIMPKINS@sakilacustomer.org,"Jon Stephens",Jon.Stephens@sakilastaff.com,Jon,2005-05-29,4.99,2005-05-25,2006-02-15
66,2005-05-25,2005,5,2,"DRUMLINE CYCLONE","A Insightful Panorama of a Monkey And a Sumo Wrestler who must Outrace a Mad Scientist in The Canadian Rockies",2006,English,NULL,3,G,"28 MySQL Boulevard",Woodridge,84931,135117278909,"JACQUELINE LONG",JACQUELINE.LONG@sakilacustomer.org,"Jon Stephens",Jon.Stephens@sakilastaff.com,Jon,2005-05-29,1.99,2005-05-25,2006-02-15
