ID_ALQUILER;DIA_ALQUILER;A��O_R;MES_RENTA;CUATRI_RENTA;TITULO_PELICULA;DESCRIPCION;A�;LENGUAJE;LENGUAJE_ORIGINAL;TIEMPO_RENTA;CLASIFICACION;DIRECCION;CITY;CODIGO_POSTAL;TELEFONO;NOMBRE_APELLIDO_CLIENTE;EMAIL_CLIENTE;NOMBRE Y APELLIDO PERSONAL;EMAIL_PERSONAL;USERNAME;DIA_DEVOLUCION;MONTO;FECHA_PAGO;ULTIMA ACTUALIZACION;;;;
11;25/5/2005;2005;5;2;WHALE BIKINI;A Intrepid Story of a Pastry Chef And a Database Administrator who must Kill a Feminist in A MySQL Convention;2006;English;NULL;4;PG-13;47 MySakila Drive;Lethbridge;60562;5,81174E+11;APRIL BURNS;APRIL.BURNS@sakilacustomer.org;Mike Hillyer;Mike.Hillyer@sakilastaff.com;Mike;2/6/2005;8.99;25/5/2005;15/2/2006;;ALBERT CROUSE;1;1
12;25/5/2005;2005;5;2;GAMES BOWFINGER;A Astounding Documentary of a Butler And a Explorer who must Challenge a Butler in A Monastery;2006;English;NULL;7;PG-13;47 MySakila Drive;Lethbridge;30065;2,65153E+11;DEANNA BYRD;DEANNA.BYRD@sakilacustomer.org;Mike Hillyer;Mike.Hillyer@sakilastaff.com;Mike;30/5/2005;4.99;25/5/2005;15/2/2006;;ALEXANDER FENNELL;1;1
13;25/5/2005;2005;5;2;KING EVOLUTION;A Action-Packed Tale of a Boy And a Lumberjack who must Chase a Madman in A Baloon;2006;English;NULL;3;NC-17;47 MySakila Drive;Lethbridge;49812;8,34627E+11;RAYMOND MCWHORTER;RAYMOND.MCWHORTER@sakilacustomer.org;Mike Hillyer;Mike.Hillyer@sakilastaff.com;Mike;30/5/2005;6.99;25/5/2005;15/2/2006;;ALICE STEWART;2;2
14;25/5/2005;2005;5;2;MONTEREY LABYRINTH;A Awe-Inspiring Drama of a Monkey And a Composer who must Escape a Feminist in A U-Boat;2006;English;NULL;6;G;28 MySQL Boulevard;Woodridge;2834;39463554936;THEODORE CULP;THEODORE.CULP@sakilacustomer.org;Jon Stephens;Jon.Stephens@sakilastaff.com;Jon;26/5/2005;0.99;25/5/2005;15/2/2006;;ALICIA MILLS;2;2
15;25/5/2005;2005;5;2;PELICAN COMFORTS;A Epic Documentary of a Boy And a Monkey who must Pursue a Astronaut in Berlin;2006;English;NULL;4;PG;47 MySakila Drive;Lethbridge;73170;6,74806E+11;RONALD WEINER;RONALD.WEINER@sakilacustomer.org;Mike Hillyer;Mike.Hillyer@sakilastaff.com;Mike;3/6/2005;9.99;25/5/2005;15/2/2006;;ALLAN CORNISH;2;2
16;25/5/2005;2005;5;2;BOOGIE AMELIE;A Lacklusture Character Study of a Husband And a Sumo Wrestler who must Succumb a Technical Writer in The Gulf of Mexico;2006;English;NULL;6;R;47 MySakila Drive;Lethbridge;59811;1,39378E+11;STEVEN CURLEY;STEVEN.CURLEY@sakilacustomer.org;Mike Hillyer;Mike.Hillyer@sakilastaff.com;Mike;26/5/2005;4.99;25/5/2005;15/2/2006;;ALLISON STANLEY;1;1
17;25/5/2005;2005;5;2;CONTACT ANONYMOUS;A Insightful Display of a A Shark And a Monkey who must Face a Database Administrator in Ancient India;2006;English;NULL;7;PG-13;28 MySQL Boulevard;Woodridge;89422;14465669789;ISAAC OGLESBY;ISAAC.OGLESBY@sakilacustomer.org;Jon Stephens;Jon.Stephens@sakilastaff.com;Jon;27/5/2005;2.99;25/5/2005;15/2/2006;;ALMA AUSTIN;1;1
18;25/5/2005;2005;5;2;ROMAN PUNK;A Thoughtful Panorama of a Mad Cow And a Student who must Battle a Forensic Psychologist in Berlin;2006;English;NULL;7;NC-17;47 MySakila Drive;Lethbridge;72192;2,72572E+11;RUTH MARTINEZ;RUTH.MARTINEZ@sakilacustomer.org;Mike Hillyer;Mike.Hillyer@sakilastaff.com;Mike;31/5/2005;0.99;25/5/2005;15/2/2006;;ALVIN DELOACH;1;1
19;25/5/2005;2005;5;2;HOLLOW JEOPARDY;A Beautiful Character Study of a Robot And a Astronaut who must Overcome a Boat in A Monastery;2006;English;NULL;7;NC-17;28 MySQL Boulevard;Woodridge;75559;6,70371E+11;RONNIE RICKETTS;RONNIE.RICKETTS@sakilacustomer.org;Jon Stephens;Jon.Stephens@sakilastaff.com;Jon;31/5/2005;4.99;25/5/2005;15/2/2006;;AMY LOPEZ;1;1
20;25/5/2005;2005;5;2;SCISSORHANDS SLUMS;A Awe-Inspiring Drama of a Girl And a Technical Writer who must Meet a Feminist in The Canadian Rockies;2006;English;NULL;5;G;28 MySQL Boulevard;Woodridge;65121;9,51486E+11;ROBERTA HARPER;ROBERTA.HARPER@sakilacustomer.org;Jon Stephens;Jon.Stephens@sakilastaff.com;Jon;27/5/2005;2.99;25/5/2005;15/2/2006;;ANA BRADLEY;1;1
21;25/5/2005;2005;5;2;APACHE DIVINE;A Awe-Inspiring Reflection of a Pastry Chef And a Teacher who must Overcome a Sumo Wrestler in A U-Boat;2006;English;NULL;5;NC-17;47 MySakila Drive;Lethbridge;21615;4,26255E+11;CRAIG MORRELL;CRAIG.MORRELL@sakilacustomer.org;Mike Hillyer;Mike.Hillyer@sakilastaff.com;Mike;26/5/2005;4.99;25/5/2005;15/2/2006;;ANDRE RAPP;1;1
22;25/5/2005;2005;5;2;CLOSER BANG;A Unbelieveable Panorama of a Frisbee And a Hunter who must Vanquish a Monkey in Ancient India;2006;English;NULL;5;R;47 MySakila Drive;Lethbridge;51369;4,42674E+11;RAUL FORTIER;RAUL.FORTIER@sakilacustomer.org;Mike Hillyer;Mike.Hillyer@sakilastaff.com;Mike;26/5/2005;4.99;25/5/2005;15/2/2006;;ANDREW PURDY;1;1
23;25/5/2005;2005;5;2;WHALE BIKINI;A Intrepid Story of a Pastry Chef And a Database Administrator who must Kill a Feminist in A MySQL Convention;2006;English;NULL;4;PG-13;47 MySakila Drive;Lethbridge;55405;6,89682E+11;BARRY LOVELACE;BARRY.LOVELACE@sakilacustomer.org;Mike Hillyer;Mike.Hillyer@sakilastaff.com;Mike;29/5/2005;4.99;25/5/2005;15/2/2006;;ANDY VANHORN;1;1
24;25/5/2005;2005;5;2;REDS POCUS;A Lacklusture Yarn of a Sumo Wrestler And a Squirrel who must Redeem a Monkey in Soviet Georgia;2006;English;NULL;7;PG-13;47 MySakila Drive;Lethbridge;58866;6,892E+11;JUAN FRALEY;JUAN.FRALEY@sakilacustomer.org;Mike Hillyer;Mike.Hillyer@sakilastaff.com;Mike;27/5/2005;4.99;25/5/2005;15/2/2006;;ANGEL BARCLAY;2;2
25;25/5/2005;2005;5;2;SUN CONFESSIONS;A Beautiful Display of a Mad Cow And a Dog who must Redeem a Waitress in An Abandoned Amusement Park;2006;English;NULL;5;R;28 MySQL Boulevard;Woodridge;47929;9,12257E+11;PAMELA BAKER;PAMELA.BAKER@sakilacustomer.org;Jon Stephens;Jon.Stephens@sakilastaff.com;Jon;27/5/2005;0.99;25/5/2005;15/2/2006;;ANGELA HERNANDEZ;1;1
26;25/5/2005;2005;5;2;WAIT CIDER;A Intrepid Epistle of a Woman And a Forensic Psychologist who must Succumb a Astronaut in A Manhattan Penthouse;2006;English;NULL;3;PG-13;47 MySakila Drive;Lethbridge;57810;3,33391E+11;BILLY POULIN;BILLY.POULIN@sakilacustomer.org;Mike Hillyer;Mike.Hillyer@sakilastaff.com;Mike;31/5/2005;3.99;25/5/2005;15/2/2006;;ANN EVANS;2;2
27;25/5/2005;2005;5;2;EASY GLADIATOR;A Fateful Story of a Monkey And a Girl who must Overcome a Pastry Chef in Ancient India;2006;English;NULL;5;G;28 MySQL Boulevard;Woodridge;68469;96110042435;ROBERT BAUGHMAN;ROBERT.BAUGHMAN@sakilacustomer.org;Jon Stephens;Jon.Stephens@sakilastaff.com;Jon;30/5/2005;4.99;25/5/2005;15/2/2006;;ANNA HILL;1;1
28;25/5/2005;2005;5;2;THIEF PELICAN;A Touching Documentary of a Madman And a Mad Scientist who must Outrace a Feminist in An Abandoned Mine Shaft;2006;English;NULL;5;PG-13;47 MySakila Drive;Lethbridge;31390;5,88965E+11;CONSTANCE REID;CONSTANCE.REID@sakilacustomer.org;Mike Hillyer;Mike.Hillyer@sakilastaff.com;Mike;26/5/2005;4.99;25/5/2005;15/2/2006;;ANNE POWELL;2;2
29;25/5/2005;2005;5;2;CHAINSAW UPTOWN;A Beautiful Documentary of a Boy And a Robot who must Discover a Squirrel in Australia;2006;English;NULL;6;PG;28 MySQL Boulevard;Woodridge;76022;1,77728E+11;MARIE TURNER;MARIE.TURNER@sakilacustomer.org;Jon Stephens;Jon.Stephens@sakilastaff.com;Jon;30/5/2005;0.99;25/5/2005;15/2/2006;;APRIL BURNS;2;2
30;25/5/2005;2005;5;2;SONG HEDWIG;A Amazing Documentary of a Man And a Husband who must Confront a Squirrel in A MySQL Convention;2006;English;NULL;3;PG-13;47 MySakila Drive;Lethbridge;33505;4,97289E+11;RAY HOULE;RAY.HOULE@sakilacustomer.org;Mike Hillyer;Mike.Hillyer@sakilastaff.com;Mike;30/5/2005;2.99;25/5/2005;15/2/2006;;ARNOLD HAVENS;1;1
31;25/5/2005;2005;5;2;WITCHES PANIC;A Awe-Inspiring Drama of a Secret Agent And a Hunter who must Fight a Moose in Nigeria;2006;English;NULL;6;NC-17;28 MySQL Boulevard;Woodridge;91330;5,6173E+11;FRED WHEAT;FRED.WHEAT@sakilacustomer.org;Jon Stephens;Jon.Stephens@sakilastaff.com;Jon;30/5/2005;4.99;25/5/2005;15/2/2006;;ARTHUR SIMPKINS;1;1
32;25/5/2005;2005;5;2;STALLION SUNDANCE;A Fast-Paced Tale of a Car And a Dog who must Outgun a A Shark in Australia;2006;English;NULL;5;PG-13;28 MySQL Boulevard;Woodridge;50598;4,79007E+11;JOY GEORGE;JOY.GEORGE@sakilacustomer.org;Jon Stephens;Jon.Stephens@sakilastaff.com;Jon;25/5/2005;0.99;25/5/2005;15/2/2006;;BARRY LOVELACE;1;1
33;25/5/2005;2005;5;2;GOLDMINE TYCOON;A Brilliant Epistle of a Composer And a Frisbee who must Conquer a Husband in The Outback;2006;English;NULL;6;R;47 MySakila Drive;Lethbridge;46063;1,7074E+11;KAY CALDWELL;KAY.CALDWELL@sakilacustomer.org;Mike Hillyer;Mike.Hillyer@sakilastaff.com;Mike;27/5/2005;0.99;25/5/2005;15/2/2006;;BEATRICE ARNOLD;1;1
34;25/5/2005;2005;5;2;MICROCOSMOS PARADISE;A Touching Character Study of a Boat And a Student who must Sink a A Shark in Nigeria;2006;English;NULL;6;PG-13;47 MySakila Drive;Lethbridge;52137;6,44021E+11;FREDDIE DUGGAN;FREDDIE.DUGGAN@sakilacustomer.org;Mike Hillyer;Mike.Hillyer@sakilastaff.com;Mike;29/5/2005;2.99;25/5/2005;15/2/2006;;BECKY MILES;1;1
35;25/5/2005;2005;5;2;ENEMY ODDS;A Fanciful Panorama of a Mad Scientist And a Woman who must Pursue a Astronaut in Ancient India;2006;English;NULL;5;NC-17;28 MySQL Boulevard;Woodridge;11839;5,08349E+11;ROBERTO VU;ROBERTO.VU@sakilacustomer.org;Jon Stephens;Jon.Stephens@sakilastaff.com;Jon;27/5/2005;4.99;25/5/2005;15/2/2006;;BEN EASTER;2;2
36;25/5/2005;2005;5;2;ESCAPE METROPOLIS;A Taut Yarn of a Astronaut And a Technical Writer who must Outgun a Boat in New Orleans;2006;English;NULL;7;R;28 MySQL Boulevard;Woodridge;82624;9,78987E+11;BONNIE HUGHES;BONNIE.HUGHES@sakilacustomer.org;Jon Stephens;Jon.Stephens@sakilastaff.com;Jon;29/5/2005;2.99;25/5/2005;15/2/2006;;BERNARD COLBY;1;1
37;25/5/2005;2005;5;2;BORROWERS BEDAZZLED;A Brilliant Epistle of a Teacher And a Sumo Wrestler who must Defeat a Man in An Abandoned Fun House;2006;English;NULL;7;G;28 MySQL Boulevard;Woodridge;49250;8912935608;JAVIER ELROD;JAVIER.ELROD@sakilacustomer.org;Jon Stephens;Jon.Stephens@sakilastaff.com;Jon;29/5/2005;0.99;25/5/2005;15/2/2006;;BERNICE WILLIS;3;3
38;25/5/2005;2005;5;2;MANCHURIAN CURTAIN;A Stunning Tale of a Mad Cow And a Boy who must Battle a Boy in Berlin;2006;English;NULL;5;PG;47 MySakila Drive;Lethbridge;58979;1,08054E+11;MICHAEL SILVERMAN;MICHAEL.SILVERMAN@sakilacustomer.org;Mike Hillyer;Mike.Hillyer@sakilastaff.com;Mike;1/6/2005;4.99;25/5/2005;15/2/2006;;BERTHA FERGUSON;1;1
39;25/5/2005;2005;5;2;WIND PHANTOM;A Touching Saga of a Madman And a Forensic Psychologist who must Build a Sumo Wrestler in An Abandoned Mine Shaft;2006;English;NULL;6;R;47 MySakila Drive;Lethbridge;10800;4,03405E+11;GERTRUDE CASTILLO;GERTRUDE.CASTILLO@sakilacustomer.org;Mike Hillyer;Mike.Hillyer@sakilastaff.com;Mike;31/5/2005;0.99;25/5/2005;15/2/2006;;BESSIE MORRISON;1;1
40;25/5/2005;2005;5;2;MINDS TRUMAN;A Taut Yarn of a Mad Scientist And a Crocodile who must Outgun a Database Administrator in A Monastery;2006;English;NULL;3;PG-13;47 MySakila Drive;Lethbridge;58888;4,8004E+11;MARVIN YEE;MARVIN.YEE@sakilacustomer.org;Mike Hillyer;Mike.Hillyer@sakilastaff.com;Mike;27/5/2005;4.99;25/5/2005;15/2/2006;;BETTY WHITE;4;4
41;25/5/2005;2005;5;2;GRIT CLOCKWORK;A Thoughtful Display of a Dentist And a Squirrel who must Confront a Lumberjack in A Shark Tank;2006;English;NULL;3;PG;28 MySQL Boulevard;Woodridge;25220;48265851133;YVONNE WATKINS;YVONNE.WATKINS@sakilacustomer.org;Jon Stephens;Jon.Stephens@sakilastaff.com;Jon;2/6/2005;5.99;25/5/2005;15/2/2006;;BEVERLY BROOKS;1;1
42;25/5/2005;2005;5;2;BOILED DARES;A Awe-Inspiring Story of a Waitress And a Dog who must Discover a Dentist in Ancient Japan;2006;English;NULL;7;PG;47 MySakila Drive;Lethbridge;18043;6,3841E+11;HARVEY GUAJARDO;HARVEY.GUAJARDO@sakilacustomer.org;Mike Hillyer;Mike.Hillyer@sakilastaff.com;Mike;31/5/2005;4.99;25/5/2005;15/2/2006;;BILLY POULIN;4;4
43;25/5/2005;2005;5;2;MASSAGE IMAGE;A Fateful Drama of a Frisbee And a Crocodile who must Vanquish a Dog in The First Manned Space Station;2006;English;NULL;4;PG;28 MySQL Boulevard;Woodridge;79401;4,7838E+11;NEIL RENNER;NEIL.RENNER@sakilacustomer.org;Jon Stephens;Jon.Stephens@sakilastaff.com;Jon;26/5/2005;2.99;25/5/2005;15/2/2006;;BOBBIE CRAIG;3;3
44;25/5/2005;2005;5;2;PIRATES ROXANNE;A Stunning Drama of a Woman And a Lumberjack who must Overcome a A Shark in The Canadian Rockies;2006;English;NULL;4;PG;47 MySakila Drive;Lethbridge;10800;4,03405E+11;GERTRUDE CASTILLO;GERTRUDE.CASTILLO@sakilacustomer.org;Mike Hillyer;Mike.Hillyer@sakilastaff.com;Mike;29/5/2005;0.99;25/5/2005;15/2/2006;;BOBBY BOUDREAU;1;1
45;25/5/2005;2005;5;2;HARRY IDAHO;A Taut Yarn of a Technical Writer And a Feminist who must Outrace a Dog in California;2006;English;NULL;5;PG-13;28 MySQL Boulevard;Woodridge;47472;1,4572E+11;TROY QUIGLEY;TROY.QUIGLEY@sakilacustomer.org;Jon Stephens;Jon.Stephens@sakilastaff.com;Jon;2/6/2005;7.99;25/5/2005;15/2/2006;;BRANDY GRAVES;1;1
46;25/5/2005;2005;5;2;RIDGEMONT SUBMARINE;A Unbelieveable Drama of a Waitress And a Composer who must Sink a Mad Cow in Ancient Japan;2006;English;NULL;3;PG-13;47 MySakila Drive;Lethbridge;93896;7,16571E+11;MARIA MILLER;MARIA.MILLER@sakilacustomer.org;Mike Hillyer;Mike.Hillyer@sakilastaff.com;Mike;2/6/2005;5.99;25/5/2005;15/2/2006;;BRETT CORNWELL;3;3
47;25/5/2005;2005;5;2;JAWS HARRY;A Thrilling Display of a Database Administrator And a Monkey who must Overcome a Dog in An Abandoned Fun House;2006;English;NULL;4;G;28 MySQL Boulevard;Woodridge;34021;4,40512E+11;VIRGINIA GREEN;VIRGINIA.GREEN@sakilacustomer.org;Jon Stephens;Jon.Stephens@sakilastaff.com;Jon;30/5/2005;3.99;25/5/2005;15/2/2006;;BRIAN WYMAN;1;1
48;25/5/2005;2005;5;2;GUN BONNIE;A Boring Display of a Sumo Wrestler And a Husband who must Build a Waitress in The Gulf of Mexico;2006;English;NULL;7;G;47 MySakila Drive;Lethbridge;8160;62781725285;JENNY CASTRO;JENNY.CASTRO@sakilacustomer.org;Mike Hillyer;Mike.Hillyer@sakilastaff.com;Mike;2/6/2005;1.99;25/5/2005;15/2/2006;;BRITTANY RILEY;1;1
49;25/5/2005;2005;5;2;PACIFIC AMISTAD;A Thrilling Yarn of a Dog And a Moose who must Kill a Pastry Chef in A Manhattan Penthouse;2006;English;NULL;3;G;47 MySakila Drive;Lethbridge;50592;1,44207E+11;GENE SANBORN;GENE.SANBORN@sakilacustomer.org;Mike Hillyer;Mike.Hillyer@sakilastaff.com;Mike;30/5/2005;2.99;25/5/2005;15/2/2006;;BYRON BOX;1;1
50;25/5/2005;2005;5;2;HOPE TOOTSIE;A Amazing Documentary of a Student And a Sumo Wrestler who must Outgun a A Shark in A Shark Tank;2006;English;NULL;4;NC-17;28 MySQL Boulevard;Woodridge;43331;7,47792E+11;CAROL GARCIA;CAROL.GARCIA@sakilacustomer.org;Jon Stephens;Jon.Stephens@sakilastaff.com;Jon;28/5/2005;2.99;25/5/2005;15/2/2006;;CARL ARTIS;1;1
51;25/5/2005;2005;5;2;ELF MURDER;A Action-Packed Story of a Frisbee And a Woman who must Reach a Girl in An Abandoned Mine Shaft;2006;English;NULL;4;NC-17;47 MySakila Drive;Lethbridge;68146;8,84537E+11;MABEL HOLLAND;MABEL.HOLLAND@sakilacustomer.org;Mike Hillyer;Mike.Hillyer@sakilastaff.com;Mike;26/5/2005;4.99;25/5/2005;15/2/2006;;CARLOS COUGHLIN;1;1
52;25/5/2005;2005;5;2;TALENTED HOMICIDE;A Lacklusture Panorama of a Dentist And a Forensic Psychologist who must Outrace a Pioneer in A U-Boat;2006;English;NULL;6;PG;47 MySakila Drive;Lethbridge;54674;4,0263E+11;EDGAR RHOADS;EDGAR.RHOADS@sakilacustomer.org;Mike Hillyer;Mike.Hillyer@sakilastaff.com;Mike;31/5/2005;0.99;25/5/2005;15/2/2006;;CARMEN OWENS;1;1
53;25/5/2005;2005;5;2;ELEPHANT TROJAN;A Beautiful Panorama of a Lumberjack And a Forensic Psychologist who must Overcome a Frisbee in A Baloon;2006;English;NULL;4;PG-13;47 MySakila Drive;Lethbridge;77397;1,28499E+11;DAVE GARDINER;DAVE.GARDINER@sakilacustomer.org;Mike Hillyer;Mike.Hillyer@sakilastaff.com;Mike;27/5/2005;4.99;25/5/2005;15/2/2006;;CAROL GARCIA;1;1
54;25/5/2005;2005;5;2;MUSKETEERS WAIT;A Touching Yarn of a Student And a Moose who must Fight a Mad Cow in Australia;2006;English;NULL;7;PG;47 MySakila Drive;Lethbridge;61195;9,76799E+11;TONI HOLT;TONI.HOLT@sakilacustomer.org;Mike Hillyer;Mike.Hillyer@sakilastaff.com;Mike;1/6/2005;4.99;25/5/2005;15/2/2006;;CAROLE BARNETT;1;1
55;25/5/2005;2005;5;2;DREAM PICKUP;A Epic Display of a Car And a Composer who must Overcome a Forensic Psychologist in The Gulf of Mexico;2006;English;NULL;6;PG;28 MySQL Boulevard;Woodridge;14014;2,52265E+11;MONICA HICKS;MONICA.HICKS@sakilacustomer.org;Jon Stephens;Jon.Stephens@sakilastaff.com;Jon;30/5/2005;2.99;25/5/2005;15/2/2006;;CAROLINE BOWMAN;2;2
56;25/5/2005;2005;5;2;EYES DRIVING;A Thrilling Story of a Cat And a Waitress who must Fight a Explorer in The Outback;2006;English;NULL;4;PG-13;28 MySQL Boulevard;Woodridge;39529;59634255214;CHESTER BENNER;CHESTER.BENNER@sakilacustomer.org;Jon Stephens;Jon.Stephens@sakilastaff.com;Jon;26/5/2005;2.99;25/5/2005;15/2/2006;;CAROLYN PEREZ;1;1
57;25/5/2005;2005;5;2;SUBMARINE BED;A Amazing Display of a Car And a Monkey who must Fight a Teacher in Soviet Georgia;2006;English;NULL;5;R;28 MySQL Boulevard;Woodridge;18743;8,60453E+11;JENNIFER DAVIS;JENNIFER.DAVIS@sakilacustomer.org;Jon Stephens;Jon.Stephens@sakilastaff.com;Jon;29/5/2005;4.99;25/5/2005;15/2/2006;;CASEY MENA;2;2
58;25/5/2005;2005;5;2;PELICAN COMFORTS;A Epic Documentary of a Boy And a Monkey who must Pursue a Astronaut in Berlin;2006;English;NULL;4;PG;47 MySakila Drive;Lethbridge;54949;8,69052E+11;MATTHEW MAHAN;MATTHEW.MAHAN@sakilacustomer.org;Mike Hillyer;Mike.Hillyer@sakilastaff.com;Mike;28/5/2005;4.99;25/5/2005;15/2/2006;;CASSANDRA WALTERS;2;2
59;25/5/2005;2005;5;2;OCTOBER SUBMARINE;A Taut Epistle of a Monkey And a Boy who must Confront a Husband in A Jet Boat;2006;English;NULL;6;PG-13;28 MySQL Boulevard;Woodridge;35575;3,59479E+11;MANUEL MURRELL;MANUEL.MURRELL@sakilacustomer.org;Jon Stephens;Jon.Stephens@sakilastaff.com;Jon;1/6/2005;5.99;25/5/2005;15/2/2006;;CATHERINE CAMPBELL;1;1
60;25/5/2005;2005;5;2;BINGO TALENTED;A Touching Tale of a Girl And a Crocodile who must Discover a Waitress in Nigeria;2006;English;NULL;5;PG-13;28 MySQL Boulevard;Woodridge;14122;5,6237E+11;GORDON ALLARD;GORDON.ALLARD@sakilacustomer.org;Jon Stephens;Jon.Stephens@sakilastaff.com;Jon;30/5/2005;2.99;25/5/2005;15/2/2006;;CHARLES KOWALSKI;2;2
61;25/5/2005;2005;5;2;TRUMAN CRAZY;A Thrilling Epistle of a Moose And a Boy who must Meet a Database Administrator in A Monastery;2006;English;NULL;7;G;47 MySakila Drive;Lethbridge;98332;7,16257E+11;JO FOWLER;JO.FOWLER@sakilacustomer.org;Mike Hillyer;Mike.Hillyer@sakilastaff.com;Mike;2/6/2005;5.99;25/5/2005;15/2/2006;;CHARLIE BESS;1;1
62;25/5/2005;2005;5;2;BEACH HEARTBREAKERS;A Fateful Display of a Womanizer And a Mad Scientist who must Outgun a A Shark in Soviet Georgia;2006;English;NULL;6;G;28 MySQL Boulevard;Woodridge;60622;9,87306E+11;CHAD CARBONE;CHAD.CARBONE@sakilacustomer.org;Jon Stephens;Jon.Stephens@sakilastaff.com;Jon;30/5/2005;2.99;25/5/2005;15/2/2006;;CHARLOTTE HUNTER;2;2
